model-1588501844, 1588501855.572, 0.64, 0.2439, 0.64, 0.227
model-1588501844, 1588501855.614, 0.58, 0.2352, 0.62, 0.2328
model-1588501844, 1588501855.656, 0.69, 0.2088, 0.59, 0.2357
model-1588501844, 1588501855.702, 0.65, 0.2028, 0.66, 0.2024
model-1588501844, 1588501855.745, 0.58, 0.2341, 0.7, 0.2096
model-1588501844, 1588501855.787, 0.66, 0.2159, 0.56, 0.2458
model-1588501844, 1588501855.832, 0.65, 0.2195, 0.68, 0.2028
model-1588501844, 1588501855.875, 0.68, 0.2075, 0.67, 0.2159
model-1588501844, 1588501855.917, 0.67, 0.2124, 0.62, 0.2192
model-1588501844, 1588501855.961, 0.67, 0.2088, 0.57, 0.2387
model-1588501844, 1588501856.003, 0.66, 0.2136, 0.6, 0.237
model-1588501844, 1588501856.046, 0.66, 0.2034, 0.6, 0.231
model-1588501844, 1588501856.091, 0.65, 0.2003, 0.65, 0.2104
model-1588501844, 1588501856.134, 0.67, 0.2033, 0.65, 0.2326
model-1588501844, 1588501856.176, 0.63, 0.2304, 0.67, 0.1947
model-1588501844, 1588501856.22, 0.68, 0.1962, 0.61, 0.2366
model-1588501844, 1588501856.262, 0.68, 0.2117, 0.63, 0.2362
model-1588501844, 1588501856.304, 0.65, 0.2188, 0.61, 0.2452
model-1588501844, 1588501856.35, 0.62, 0.2443, 0.6, 0.222
model-1588501844, 1588501856.392, 0.61, 0.2419, 0.59, 0.2217
model-1588501844, 1588501856.438, 0.67, 0.2095, 0.65, 0.2219
model-1588501844, 1588501856.492, 0.65, 0.225, 0.64, 0.2241
model-1588501844, 1588501856.544, 0.73, 0.1957, 0.71, 0.2148
model-1588501844, 1588501856.591, 0.65, 0.2136, 0.69, 0.2102
model-1588501844, 1588501856.647, 0.55, 0.2632, 0.57, 0.2492
model-1588501844, 1588501856.696, 0.66, 0.2255, 0.7, 0.1968
model-1588501844, 1588501856.74, 0.67, 0.2138, 0.62, 0.2245
model-1588501844, 1588501856.791, 0.64, 0.2463, 0.53, 0.2535
model-1588501844, 1588501856.837, 0.61, 0.2137, 0.57, 0.257
model-1588501844, 1588501856.888, 0.58, 0.2395, 0.57, 0.2488
model-1588501844, 1588501856.935, 0.62, 0.2251, 0.58, 0.2474
model-1588501844, 1588501856.98, 0.62, 0.2274, 0.65, 0.2219
model-1588501844, 1588501857.028, 0.65, 0.2181, 0.59, 0.2431
model-1588501844, 1588501857.08, 0.66, 0.2134, 0.65, 0.2174
model-1588501844, 1588501857.127, 0.61, 0.2285, 0.63, 0.2265
model-1588501844, 1588501857.177, 0.62, 0.2297, 0.69, 0.2034
model-1588501844, 1588501857.223, 0.68, 0.2178, 0.6, 0.2419
model-1588501844, 1588501857.269, 0.69, 0.2051, 0.58, 0.247
model-1588501844, 1588501857.312, 0.76, 0.1948, 0.69, 0.2162
model-1588501844, 1588501857.36, 0.64, 0.2311, 0.62, 0.2212
model-1588501844, 1588501857.404, 0.66, 0.2088, 0.63, 0.2298
model-1588501844, 1588501857.449, 0.56, 0.2395, 0.62, 0.2262
model-1588501844, 1588501857.498, 0.6, 0.2459, 0.61, 0.2269
model-1588501844, 1588501857.546, 0.61, 0.2264, 0.65, 0.2263
model-1588501844, 1588501857.592, 0.66, 0.2123, 0.68, 0.2142
model-1588501844, 1588501857.642, 0.61, 0.2321, 0.56, 0.2461
model-1588501844, 1588501857.692, 0.64, 0.2124, 0.62, 0.2404
model-1588501844, 1588501857.737, 0.67, 0.203, 0.71, 0.1977
model-1588501844, 1588501857.784, 0.61, 0.2413, 0.6, 0.2396
model-1588501844, 1588501857.826, 0.67, 0.2088, 0.64, 0.2175
model-1588501844, 1588501857.868, 0.68, 0.22, 0.6, 0.2421
model-1588501844, 1588501857.913, 0.68, 0.2178, 0.56, 0.243
model-1588501844, 1588501857.956, 0.57, 0.2279, 0.49, 0.2565
model-1588501844, 1588501857.999, 0.65, 0.222, 0.57, 0.232
model-1588501844, 1588501858.042, 0.63, 0.2397, 0.57, 0.2396
model-1588501844, 1588501858.084, 0.59, 0.2144, 0.68, 0.2068
model-1588501844, 1588501858.126, 0.61, 0.2206, 0.71, 0.21
model-1588501844, 1588501858.169, 0.67, 0.2229, 0.58, 0.2372
model-1588501844, 1588501858.212, 0.6, 0.2343, 0.64, 0.2295
model-1588501844, 1588501858.254, 0.67, 0.2108, 0.66, 0.2093
model-1588501844, 1588501858.297, 0.64, 0.2249, 0.67, 0.2168
model-1588501844, 1588501858.339, 0.63, 0.2133, 0.7, 0.2019
model-1588501844, 1588501858.382, 0.71, 0.2027, 0.65, 0.2279
model-1588501844, 1588501858.425, 0.74, 0.192, 0.7, 0.2013
model-1588501844, 1588501858.467, 0.6, 0.2155, 0.62, 0.2298
model-1588501844, 1588501858.509, 0.69, 0.2081, 0.57, 0.2471
model-1588501844, 1588501858.553, 0.62, 0.2188, 0.7, 0.2211
model-1588501844, 1588501858.595, 0.61, 0.2418, 0.63, 0.2248
model-1588501844, 1588501858.638, 0.66, 0.2179, 0.7, 0.2009
model-1588501844, 1588501858.683, 0.64, 0.2135, 0.67, 0.2256
model-1588501844, 1588501858.725, 0.61, 0.2133, 0.64, 0.2206
model-1588501844, 1588501858.767, 0.59, 0.2297, 0.7, 0.2033
model-1588501844, 1588501858.812, 0.68, 0.2113, 0.63, 0.2192
model-1588501844, 1588501858.854, 0.59, 0.2427, 0.69, 0.2103
model-1588501844, 1588501858.897, 0.65, 0.2161, 0.68, 0.2122
model-1588501844, 1588501858.941, 0.73, 0.2019, 0.63, 0.2291
model-1588501844, 1588501858.983, 0.67, 0.2136, 0.78, 0.1861
model-1588501844, 1588501859.026, 0.64, 0.2369, 0.65, 0.2081
model-1588501844, 1588501859.07, 0.7, 0.2074, 0.67, 0.2139
model-1588501844, 1588501859.113, 0.61, 0.2405, 0.69, 0.2179
model-1588501844, 1588501859.155, 0.71, 0.2077, 0.61, 0.2244
model-1588501844, 1588501859.198, 0.57, 0.2233, 0.58, 0.2395
model-1588501844, 1588501859.24, 0.66, 0.215, 0.61, 0.2243
model-1588501844, 1588501859.282, 0.76, 0.1833, 0.69, 0.2081
model-1588501844, 1588501859.327, 0.67, 0.2192, 0.7, 0.1972
model-1588501844, 1588501859.369, 0.66, 0.2134, 0.63, 0.2159
model-1588501844, 1588501859.411, 0.66, 0.2213, 0.64, 0.2228
model-1588501844, 1588501859.456, 0.73, 0.2035, 0.59, 0.2375
model-1588501844, 1588501859.498, 0.69, 0.205, 0.69, 0.2084
model-1588501844, 1588501859.54, 0.72, 0.1866, 0.6, 0.2181
model-1588501844, 1588501859.583, 0.59, 0.2301, 0.68, 0.2068
model-1588501844, 1588501859.624, 0.7, 0.2136, 0.65, 0.2159
model-1588501844, 1588501859.667, 0.69, 0.2199, 0.72, 0.1877
model-1588501844, 1588501859.71, 0.78, 0.1622, 0.7, 0.2047
model-1588501844, 1588501859.752, 0.71, 0.197, 0.71, 0.2124
model-1588501844, 1588501859.794, 0.61, 0.2264, 0.69, 0.2034
model-1588501844, 1588501859.839, 0.69, 0.1945, 0.7, 0.1842
model-1588501844, 1588501859.881, 0.64, 0.2041, 0.74, 0.1964
model-1588501844, 1588501859.924, 0.66, 0.2108, 0.69, 0.1962
model-1588501844, 1588501859.969, 0.61, 0.24, 0.6, 0.2294
model-1588501844, 1588501860.012, 0.7, 0.2069, 0.75, 0.1945
model-1588501844, 1588501860.054, 0.72, 0.2104, 0.61, 0.2435
model-1588501844, 1588501860.097, 0.67, 0.2096, 0.58, 0.2554
model-1588501844, 1588501860.14, 0.66, 0.2272, 0.68, 0.2029
model-1588501844, 1588501860.183, 0.65, 0.2164, 0.65, 0.2101
model-1588501844, 1588501860.228, 0.71, 0.1965, 0.67, 0.2048
model-1588501844, 1588501860.27, 0.64, 0.2302, 0.73, 0.1878
model-1588501844, 1588501860.313, 0.66, 0.2031, 0.63, 0.224
model-1588501844, 1588501860.356, 0.61, 0.2305, 0.63, 0.2251
model-1588501844, 1588501860.398, 0.67, 0.1997, 0.64, 0.2165
model-1588501844, 1588501860.44, 0.66, 0.2093, 0.66, 0.2058
model-1588501844, 1588501860.483, 0.73, 0.1997, 0.6, 0.2414
model-1588501844, 1588501860.525, 0.73, 0.1771, 0.61, 0.2265
model-1588501844, 1588501860.568, 0.53, 0.2392, 0.74, 0.1948
model-1588501844, 1588501860.611, 0.64, 0.2109, 0.62, 0.216
model-1588501844, 1588501860.655, 0.7, 0.2118, 0.68, 0.2095
model-1588501844, 1588501860.698, 0.65, 0.2323, 0.62, 0.2296
model-1588501844, 1588501860.743, 0.65, 0.2271, 0.72, 0.2004
model-1588501844, 1588501860.785, 0.68, 0.2112, 0.61, 0.2234
model-1588501844, 1588501860.827, 0.69, 0.2043, 0.68, 0.1981
model-1588501844, 1588501860.871, 0.74, 0.2011, 0.7, 0.2014
model-1588501844, 1588501860.914, 0.81, 0.1692, 0.68, 0.2143
model-1588501844, 1588501860.957, 0.73, 0.1937, 0.69, 0.2101
model-1588501844, 1588501861.002, 0.64, 0.2059, 0.55, 0.2502
model-1588501844, 1588501861.049, 0.72, 0.1963, 0.63, 0.2221
model-1588501844, 1588501861.095, 0.72, 0.1971, 0.62, 0.2079
model-1588501844, 1588501861.148, 0.69, 0.2124, 0.67, 0.208
model-1588501844, 1588501861.196, 0.74, 0.1958, 0.67, 0.2063
